"modelo","especificacion","metodo","k","cod_mun","Municipio","directo","varianza","base","robusto","dif_pp"
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76233","Dagua",0.207021979672274,0.00136621522840808,0.234863839823672,0.235978160173418,0.1114
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76243","El Águila",0.294073076447916,0.00236298147886876,0.285941420115893,0.288674925892273,0.2734
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76246","El Cairo",0.254004114002871,0.00282345865625291,0.298781472184633,0.301930090328387,0.3149
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76248","El Cerrito",0.144691679449936,0.000936554377280561,0.140618403298925,0.140016924073251,-0.0601
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76250","El Dovio",0.427663486848989,0.00715844761819582,0.45353172434401,0.456485033413937,0.2953
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76275","Florida",0.241902478104377,0.0029633225467165,0.214013929486284,0.211796319778117,-0.2218
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76306","Ginebra",0.261182422460713,0.00120904672498133,0.220408320836555,0.22641107326369,0.6003
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76318","Guacarí",0.142114639632979,0.000282342767973003,0.151639068347628,0.152376865810738,0.0738
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76364","Jamundí",0.206298512477446,0.0004189397962523,0.205584440541501,0.204942100268903,-0.0642
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76377","La Cumbre",0.147708363582434,0.000671669477971967,0.178894682413147,0.172209808115343,-0.6685
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76400","La Unión",0.310276615368601,0.00342017791874781,0.255979884678487,0.253567845747115,-0.2412
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76403","La Victoria",0.287579897258377,0.002780134667461,0.27983039672089,0.280867238472932,0.1037
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76497","Obando",0.299571729054856,0.00338762851003235,0.279480116007921,0.281429230633963,0.1949
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76520","Palmira",0.20769656033191,0.000474489227823819,0.205408850756519,0.20525497679559,-0.0154
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76563","Pradera",0.201095575249391,0.000748063028251591,0.221376560524645,0.222174909773894,0.0798
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76606","Restrepo",0.241473632865204,0.00193665234623158,0.268220036950585,0.268518905902439,0.0299
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76616","Riofrío",0.267094353991267,0.00301350780737849,0.274483771024274,0.277201707825577,0.2718
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76622","Roldanillo",0.2727397133463,0.00302149717701241,0.25747450147665,0.255530144658763,-0.1944
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76670","San Pedro",0.170695610315552,0.00135418430389911,0.164723427474968,0.165553371066574,0.083
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76736","Sevilla",0.345379631579637,0.00442288946164869,0.316989530448915,0.315585744784466,-0.1404
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76823","Toro",0.373203694453804,0.00595275965217131,0.328455809880192,0.326749847248164,-0.1706
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76828","Trujillo",0.362514157334695,0.00426434326788694,0.351819485894908,0.354228921589312,0.2409
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76834","Tuluá",0.257428514132288,0.000541228123605218,0.249647945158399,0.2492179228553,-0.043
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76845","Ulloa",0.221857831780414,0.00181330774393671,0.238761677323377,0.239954390108589,0.1193
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76863","Versalles",0.399069270481297,0.00627345521663673,0.359514047698966,0.361169817338974,0.1656
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76869","Vijes",0.236087412061672,0.00135481929033369,0.251496545786694,0.251672927566256,0.0176
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76890","Yotoco",0.203630228528829,0.00057285157923096,0.209190829794882,0.209182717219581,-8e-04
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76892","Yumbo",0.281760420447449,0.000159370438125575,0.277056764175072,0.276531361231649,-0.0525
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76895","Zarzal",0.18600007617763,0.000685163978077271,0.185168129184664,0.185378243830683,0.021
"M3_reblup_1.345","M3","reblup",1.345,"19001","Popayán",0.387999218684024,0.000107894536586391,0.387091273075253,0.386710690897472,-0.0381
"M3_reblup_1.345","M3","reblup",1.345,"19022","Almaguer",0.562525352371654,0.0136491858851204,0.516240345541547,0.517340264938219,0.11
"M3_reblup_1.345","M3","reblup",1.345,"19050","Argelia",0.238909085592395,0.00235774527420282,0.301367660985027,0.312606572363835,1.1239
"M3_reblup_1.345","M3","reblup",1.345,"19075","Balboa",0.45010901827639,0.0122073320924848,0.449301904604771,0.449431179881194,0.0129
"M3_reblup_1.345","M3","reblup",1.345,"19100","Bolívar",0.500368429949404,0.00628201529723791,0.479584448678043,0.481896778549495,0.2312
"M3_reblup_1.345","M3","reblup",1.345,"19110","Buenos Aires",0.449296998852418,0.0100005839773152,0.421243379530105,0.423029323124415,0.1786
"M3_reblup_1.345","M3","reblup",1.345,"19130","Cajibío",0.508721465589494,0.00729331691925184,0.429405358390913,0.423776815058369,-0.5629
"M3_reblup_1.345","M3","reblup",1.345,"19137","Caldono",0.553082146130063,0.0111952566482734,0.636025878712169,0.644065899941355,0.804
"M3_reblup_1.345","M3","reblup",1.345,"19142","Caloto",0.381381786380106,0.00530551647503933,0.384094873471874,0.387660369402579,0.3565
"M3_reblup_1.345","M3","reblup",1.345,"19212","Corinto",0.313138472537286,0.00376871935286487,0.324789611950185,0.326503033095263,0.1713
"M3_reblup_1.345","M3","reblup",1.345,"19256","El Tambo",0.534467488422076,0.00254281929597808,0.479355386718711,0.473529217590005,-0.5826
"M3_reblup_1.345","M3","reblup",1.345,"19290","Florencia",0.523549226857493,0.0139109248008639,0.520305648925165,0.524092372977589,0.3787
"M3_reblup_1.345","M3","reblup",1.345,"19300","Guachené",0.314021505745962,0.000861410426553789,0.32394085001292,0.326822483276691,0.2882
"M3_reblup_1.345","M3","reblup",1.345,"19318","Guapi",0.549766265076062,0.00512038748396201,0.637603318025128,0.646445468157794,0.8842
"M3_reblup_1.345","M3","reblup",1.345,"19355","Inzá",0.504403345724611,0.0149002890445202,0.448016181349796,0.447129278688141,-0.0887
"M3_reblup_1.345","M3","reblup",1.345,"19364","Jambaló",0.619395990544596,0.0106645305442734,0.642192124039099,0.649821860442239,0.763
"M3_reblup_1.345","M3","reblup",1.345,"19392","La Sierra",0.513091533789568,0.0116592285221911,0.454784745576237,0.452418190940386,-0.2367
"M3_reblup_1.345","M3","reblup",1.345,"19397","La Vega",0.527577733005663,0.0125741189862332,0.458372390221583,0.459978138972502,0.1606
"M3_reblup_1.345","M3","reblup",1.345,"19418","López de Micay",0.67339111537938,0.0143155329906009,0.675888362032154,0.6855102834125,0.9622
"M3_reblup_1.345","M3","reblup",1.345,"19450","Mercaderes",0.507048831931205,0.0109386268959071,0.411957796306166,0.405480455657563,-0.6477
"M3_reblup_1.345","M3","reblup",1.345,"19455","Miranda",0.198653480586513,0.00112773336633902,0.186284841553164,0.182523336154661,-0.3762
"M3_reblup_1.345","M3","reblup",1.345,"19473","Morales",0.524107460035218,0.0126976470575373,0.531719138106139,0.532359380869473,0.064
"M3_reblup_1.345","M3","reblup",1.345,"19513","Padilla",0.378594269667572,0.0069961523472339,0.334780675339003,0.334904453685284,0.0124
"M3_reblup_1.345","M3","reblup",1.345,"19517","Páez",0.557053293913796,0.0053456226555541,0.547492159931904,0.549335529192288,0.1843
"M3_reblup_1.345","M3","reblup",1.345,"19532","Patía",0.427856368967543,0.00315958697715313,0.398306728321509,0.394065154851084,-0.4242
"M3_reblup_1.345","M3","reblup",1.345,"19533","Piamonte",0.457677045801199,0.0112521525110129,0.482399295411612,0.484279539311591,0.188
"M3_reblup_1.345","M3","reblup",1.345,"19548","Piendamó - Tunía",0.347038916776648,0.00201667209285544,0.363946884340073,0.367952602202575,0.4006
"M3_reblup_1.345","M3","reblup",1.345,"19573","Puerto Tejada",0.245146463189562,0.000992568436275446,0.245203893793575,0.247477736953378,0.2274
"M3_reblup_1.345","M3","reblup",1.345,"19585","Puracé",0.415306428882595,0.00843468270525024,0.422938154432283,0.42399894725315,0.1061
"M3_reblup_1.345","M3","reblup",1.345,"19622","Rosas",0.449638514692912,0.0103301234401187,0.407903187532154,0.404256086770836,-0.3647
"M3_reblup_1.345","M3","reblup",1.345,"19693","San Sebastián",0.408009756402383,0.00723532854787553,0.448660986926023,0.455037924695559,0.6377
"M3_reblup_1.345","M3","reblup",1.345,"19698","Santander de Quilichao",0.247097867528779,0.000689930195817516,0.275310222300693,0.286402266887068,1.1092
